escenario,replica,tiempo_espera_promedio,prob_retraso,utilizacion,pedidos_atendidos,pedidos_retrasados,num_fallos,costo_total
E2_menos_camiones,21,0.0,1.0,0.1181287602752422,19,19,8,34550.0
E2_menos_camiones,21,0.0,0.8695652173913043,0.1158801858414229,23,20,5,34600.0
E2_menos_camiones,22,0.0,0.92,0.11894732000125409,25,23,6,34750.0
E2_menos_camiones,22,0.0,1.0,0.12293398002223661,18,18,9,34500.0
E2_menos_camiones,23,0.0,1.0,0.10474435025437094,18,18,9,34500.0
E2_menos_camiones,23,0.0,1.0,0.09203772924746746,14,14,2,34300.0
E2_menos_camiones,24,0.0,0.95,0.12213880968857524,20,19,3,34550.0
E2_menos_camiones,24,0.0,0.9090909090909091,0.1167164467897223,11,10,5,34100.0
E2_menos_camiones,25,0.0,0.9444444444444444,0.11802465387192165,18,17,5,34450.0
E2_menos_camiones,25,0.0,0.9130434782608695,0.11714495442889204,23,21,6,34650.0
E2_menos_camiones,26,0.0,0.8888888888888888,0.12161324102564447,18,16,3,34400.0
E2_menos_camiones,26,0.0,0.8947368421052632,0.09956535059536335,19,17,4,34450.0
E2_menos_camiones,27,0.0,0.8636363636363636,0.11360150710050475,22,19,4,34550.0
E2_menos_camiones,27,0.0,1.0,0.12361121722050206,8,8,2,34000.0
E2_menos_camiones,28,0.0,0.8823529411764706,0.12407864766725948,17,15,2,34350.0
E2_menos_camiones,28,0.0,1.0,0.12465368472798978,21,21,3,34650.0
E2_menos_camiones,29,0.0,0.8421052631578947,0.12473517792785294,19,16,5,34400.0
E2_menos_camiones,29,0.0,0.9333333333333333,0.11611218114162583,15,14,5,34300.0
E2_menos_camiones,30,0.0,0.9166666666666666,0.11996145950860466,12,11,4,34150.0
E2_menos_camiones,30,0.0,0.875,0.12416896675999085,24,21,6,34650.0
E2_menos_camiones_x50,1,0.0,0.9118511263467189,0.2040402977100078,1021,931,250,84350000.0
E2_menos_camiones_x50,1,0.0,0.26171875,0.20391714939018887,1024,268,246,51200000.0
E2_menos_camiones_x50,1,0.0,0.27582846003898637,0.20483131096333468,1026,283,238,51950000.0
E2_menos_camiones_x50,2,0.0,0.9229188078108942,0.20383707394612552,973,898,236,82700000.0
E2_menos_camiones_x50,2,0.0,0.2676659528907923,0.20276174007040132,934,250,190,50300000.0
E2_menos_camiones_x50,2,0.0,0.2704031465093412,0.20429133049062959,1017,275,243,51550000.0
E2_menos_camiones_x50,3,0.0,0.9035679845708775,0.20434774230999606,1037,937,242,84650000.0
E2_menos_camiones_x50,3,0.0,0.2662835249042146,0.20467810344903944,1044,278,238,51700000.0
E2_menos_camiones_x50,3,0.0,0.2492836676217765,0.20419436531497168,1047,261,222,50850000.0
E2_menos_camiones_x50,4,0.0,0.912621359223301,0.20412654548823495,1030,940,217,84800000.0
E2_menos_camiones_x50,4,0.0,0.26288659793814434,0.2038982622741259,970,255,221,50550000.0
E2_menos_camiones_x50,4,0.0,0.26965174129353237,0.20454876839543104,1005,271,214,51350000.0
E2_menos_camiones_x50,5,0.0,0.904,0.20484583900091846,1000,904,203,83000000.0
E2_menos_camiones_x50,5,0.0,0.2587991718426501,0.20444153935249315,966,250,232,50300000.0
E2_menos_camiones_x50,5,0.0,0.27237728585178056,0.2041377857707589,1039,283,255,51950000.0
E2_menos_camiones_x50,6,0.0,0.9282153539381854,0.20434340266327974,1003,931,243,84350000.0
E2_menos_camiones_x50,6,0.0,0.27235772357723576,0.20323792752660974,984,268,220,51200000.0
E2_menos_camiones_x50,6,0.0,0.27298850574712646,0.2045997727376092,1044,285,257,52050000.0
E2_menos_camiones_x50,7,0.0,0.9203187250996016,0.2034882319043632,1004,924,226,84000000.0
E2_menos_camiones_x50,7,0.0,0.2515274949083503,0.204168884257839,982,247,236,50150000.0
E2_menos_camiones_x50,7,0.0,0.2795918367346939,0.20406846236483808,980,274,242,51500000.0
E2_menos_camiones_x50,8,0.0,0.9126819126819127,0.2040754159800442,962,878,203,81700000.0
E2_menos_camiones_x50,8,0.0,0.2696737044145873,0.20440052763277156,1042,281,253,51850000.0
E2_menos_camiones_x50,8,0.0,0.2807017543859649,0.204041274618961,969,272,227,51400000.0
E2_menos_camiones_x50,9,0.0,0.9164265129682997,0.20479462384103989,1041,954,245,85500000.0
E2_menos_camiones_x50,9,0.0,0.28642220019821607,0.20414265791386546,1009,289,245,52250000.0
E2_menos_camiones_x50,9,0.0,0.2775073028237585,0.20509821864243297,1027,285,251,52050000.0
E2_menos_camiones_x50,10,0.0,0.9253578732106339,0.20425685621220796,978,905,219,83050000.0
E2_menos_camiones_x50,10,0.0,0.27897838899803534,0.20399179021753983,1018,284,242,52000000.0
E2_menos_camiones_x50,10,0.0,0.2682926829268293,0.20464438581841363,984,264,237,51000000.0
E2_menos_camiones_x50,11,0.0,0.9131293188548865,0.2047842790929262,1013,925,206,84050000.0
E2_menos_camiones_x50,11,0.0,0.2502639915522703,0.20362069776312566,947,237,236,49650000.0
E2_menos_camiones_x50,11,0.0,0.2704339051463169,0.20357148336278713,991,268,235,51200000.0
E2_menos_camiones_x50,12,0.0,0.9228395061728395,0.20411932879738848,972,897,241,82650000.0
E2_menos_camiones_x50,12,0.0,0.26591375770020537,0.20422051648546635,974,259,233,50750000.0
E2_menos_camiones_x50,12,0.0,0.25627615062761505,0.20406223223248676,956,245,214,50050000.0
E2_menos_camiones_x50,13,0.0,0.9167523124357657,0.20363505852527097,973,892,228,82400000.0
E2_menos_camiones_x50,13,0.0,0.27098078867542974,0.20405348076430166,989,268,215,51200000.0
E2_menos_camiones_x50,13,0.0,0.2780952380952381,0.20424900961020648,1050,292,244,52400000.0
E2_menos_camiones_x50,14,0.0,0.9082308420056765,0.2046095373684834,1057,960,234,85800000.0
E2_menos_camiones_x50,14,0.0,0.2727272727272727,0.20518765940419542,1067,291,237,52350000.0
E2_menos_camiones_x50,14,0.0,0.2741020793950851,0.2049270255674427,1058,290,250,52300000.0
E2_menos_camiones_x50,15,0.0,0.9166666666666666,0.20478277212972074,1056,968,225,86200000.0
E2_menos_camiones_x50,15,0.0,0.2751677852348993,0.20458495923370815,1043,287,256,52150000.0
E2_menos_camiones_x50,15,0.0,0.24695121951219512,0.2039313467093862,984,243,229,49950000.0
E2_menos_camiones_x50,16,0.0,0.9254013220018886,0.2045055251872279,1059,980,228,86800000.0
E2_menos_camiones_x50,16,0.0,0.29133858267716534,0.20367838504514657,1016,296,249,52600000.0
E2_menos_camiones_x50,16,0.0,0.24487895716945995,0.20399794504950702,1074,263,247,50950000.0
E2_menos_camiones_x50,17,0.0,0.9187314172447968,0.20516472353618764,1009,927,229,84150000.0
E2_menos_camiones_x50,17,0.0,0.2759961127308066,0.20446756436113625,1029,284,261,52000000.0
E2_menos_camiones_x50,17,0.0,0.26456071076011844,0.20383519320404486,1013,268,229,51200000.0
E2_menos_camiones_x50,18,0.0,0.9102196752626552,0.20398756758508102,1047,953,236,85450000.0
E2_menos_camiones_x50,18,0.0,0.2695035460992908,0.20486441421143464,987,266,236,51100000.0
E2_menos_camiones_x50,18,0.0,0.2803738317757009,0.20397722327230883,963,270,219,51300000.0
E2_menos_camiones_x50,19,0.0,0.917753259779338,0.20428559534240892,997,915,218,83550000.0
E2_menos_camiones_x50,19,0.0,0.2622133599202393,0.20413785239051158,1003,263,225,50950000.0
E2_menos_camiones_x50,19,0.0,0.2787385554425229,0.20465906935673842,983,274,229,51500000.0
E2_menos_camiones_x50,20,0.0,0.9175879396984925,0.20416026335076842,995,913,240,83450000.0
E2_menos_camiones_x50,20,0.0,0.2714975845410628,0.20354480684508353,1035,281,217,51850000.0
E2_menos_camiones_x50,20,0.0,0.27298850574712646,0.2039565741216242,1044,285,242,52050000.0
E2_menos_camiones_x50,21,0.0,0.9079079079079079,0.20403518152234984,999,907,250,83150000.0
E2_menos_camiones_x50,21,0.0,0.28273809523809523,0.204943275578693,1008,285,241,52050000.0
E2_menos_camiones_x50,21,0.0,0.26750972762645914,0.20398128670368854,1028,275,234,51550000.0
E2_menos_camiones_x50,22,0.0,0.9153846153846154,0.20493283510607252,1040,952,236,85400000.0
E2_menos_camiones_x50,22,0.0,0.26305609284332687,0.20432201793267118,1034,272,227,51400000.0
E2_menos_camiones_x50,22,0.0,0.2919921875,0.2035323414117778,1024,299,248,52750000.0
E2_menos_camiones_x50,23,0.0,0.9136960600375235,0.20528022726889425,1066,974,260,86500000.0
E2_menos_camiones_x50,23,0.0,0.2540650406504065,0.20332601946949072,984,250,244,50300000.0
E2_menos_camiones_x50,23,0.0,0.26653102746693796,0.20443604307031102,983,262,240,50900000.0
E2_menos_camiones_x50,24,0.0,0.9084435401831129,0.20378908186959924,983,893,223,82450000.0
E2_menos_camiones_x50,24,0.0,0.2678386763185109,0.20361457412150424,967,259,219,50750000.0
E2_menos_camiones_x50,24,0.0,0.27490774907749077,0.2041266230346547,1084,298,230,52700000.0
E2_menos_camiones_x50,25,0.0,0.9327398615232443,0.20430893041157872,1011,943,233,84950000.0
E2_menos_camiones_x50,25,0.0,0.26158301158301156,0.20463076921521944,1036,271,255,51350000.0
E2_menos_camiones_x50,25,0.0,0.2664700098328417,0.2042707808727108,1017,271,235,51350000.0
E2_menos_camiones_x50,26,0.0,0.9290382819794585,0.20455708710527565,1071,995,268,87550000.0
E2_menos_camiones_x50,26,0.0,0.2659963436928702,0.20475100631194235,1094,291,255,52350000.0
E2_menos_camiones_x50,26,0.0,0.2751219512195122,0.20435625249383438,1025,282,248,51900000.0
E2_menos_camiones_x50,27,0.0,0.9138276553106213,0.20410741181943856,998,912,252,83400000.0
E2_menos_camiones_x50,27,0.0,0.25498426023084997,0.203895983847318,953,243,224,49950000.0
